userID,age,Facebook,Instagram,WhatsApp,Twitter,LinkedIn,Snapchat,YouTube,TotalEngagement
U0333,58,0.22,1.93,3.2,0.87,1.58,0.27,1.45,9.52
U0334,37,3.79,3.07,2.21,0.38,1.44,1.82,0.68,12
U0335,27,3.69,3.26,0.34,0.69,1.97,0.25,0.81,11.01
U0336,20,2.18,1.96,3.08,0.55,0.51,0.58,0.64,9.5
U0337,40,0.7,2.13,0.44,0.06,0.67,1.6,1.85,7.45
U0338,54,1.81,1.81,2.99,1.78,1.23,1.03,0.35,11
U0339,51,2.24,1.67,3.03,0.51,1.64,1.9,0.49,11.48
U0340,59,0.82,0.73,2.57,1.13,0.34,1.43,1.71,8.73
U0341,33,0.6,2.12,0.17,0.58,0.04,0.84,1.73,6.08
U0342,38,2.35,3,0.4,0.73,0.24,0.46,1.31,8.49
U0343,48,3.15,2.06,3.49,1.65,0.49,0.21,0.88,11.93
U0344,21,2.17,0.18,2.25,1.45,1.78,1.77,1.24,10.84
U0345,43,3.63,0.26,3.26,1.77,0.31,0.97,0.33,10.53
U0346,41,2.62,3.48,2.33,0.61,0.26,1.14,1.7,12
U0347,52,2.94,0.06,1.15,1.35,0.86,1.67,0.43,8.46
U0348,43,3.54,3.09,2.4,1.4,1.74,0.76,0.82,12
U0349,18,1.32,1.77,0.5,2,0.75,0.86,0.72,7.92
U0350,41,2.82,3.39,1.92,1.72,0.85,1.09,0.82,12
U0351,18,1.28,3.07,0.79,0.18,1.65,1.24,1.76,9.97
U0352,26,0.8,0.82,0.4,1.51,0.92,1.69,1.3,7.44
U0353,44,0.9,2.58,1.89,1.13,1.7,1.3,0.25,9.75
U0354,44,2.77,2.99,1.61,0.77,0.03,0.64,1.44,10.25
U0355,63,2.07,1.94,3.18,0.89,0.52,1.93,1.76,12
U0356,43,0.28,1.1,0.11,1.26,0.14,1.82,1.71,6.42
U0357,48,0.59,0.1,3.04,0.9,1.04,0.63,0.49,6.79
U0358,64,2.57,3.64,0.11,0.11,0.42,0.82,1.43,9.1
U0359,56,2.29,2.46,3.39,0.23,0.64,0.64,0.42,10.07
U0360,31,3.2,0.81,1.86,0.04,1.82,1.2,0.63,9.56
U0361,44,0.55,2.81,2.83,0.86,0.27,0.2,1.2,8.72
U0362,45,1.24,0.48,1.36,1.03,0.06,0.54,1.22,5.93
U0363,37,1.08,1.99,1.34,0.38,0.96,1.17,1.61,8.53
U0364,44,0.09,3.9,3.04,1.61,0.18,1.67,1.51,12
U0365,27,0.7,1.8,0.37,1.75,1.86,1.06,0.18,7.72
U0366,34,1.31,3.18,2.2,0.44,1.69,0.88,1.63,11.33
U0367,47,1.81,2.59,1.58,1.61,1.14,0.3,0.95,9.98
U0368,44,1.58,0.75,1.38,1.55,1.79,1.43,0.83,9.31
U0369,53,2.65,3.28,3.61,1.77,1.8,0.19,0.01,12
U0370,35,3.63,0.65,0.89,1.24,1.45,1.53,0.63,10.02
U0371,45,2.15,1.58,3.86,1.61,0.7,1.24,1.24,12
U0372,56,1.2,3.31,1.2,1.41,1.36,0.87,1.05,10.4
U0373,30,3.98,3.62,2.63,1.33,1.53,1.73,0.5,12
U0374,37,2.77,3.47,1.04,0.69,0.08,0.56,0.05,8.66
U0375,57,3.52,3.51,2.54,1.26,0.14,0.9,0.4,12
U0376,28,3.34,0.98,2.45,0.94,0.78,1.58,1.96,12
U0377,60,0.66,2.53,0.34,1.54,0.08,1.23,1.97,8.35
U0378,62,1.15,3.39,2.97,0.43,0.52,1.67,1.14,11.27
U0379,42,0.28,2.69,0.37,1.9,1.39,1.7,0.13,8.46
U0380,25,3.7,1.07,3.77,1.66,0.31,0.89,1.54,12
U0381,53,1.05,1.62,1.37,0.46,1.33,1.3,1.73,8.86
U0382,37,3.67,1.89,1.17,1.72,0.57,1.42,1.49,11.93
U0383,38,3.78,0.07,0.58,1.8,1.56,0.53,0.07,8.39
U0384,21,1.32,0.71,0.86,1.12,0.88,0.84,1.74,7.47
U0385,39,3.79,1.3,3.09,0.17,1.99,0.79,1.55,12
U0386,40,0.8,2.6,1.73,1.87,0.79,1.58,0.33,9.7
U0387,22,2.13,2.86,1.23,0.65,0.25,1.7,0.67,9.49
U0388,42,3.7,2.89,3.71,0.74,0.67,0.32,0.65,12
U0389,30,0.69,3.47,2.32,1.82,1.08,1.5,0.79,11.67
U0390,32,2.17,0.94,2.78,0.53,0.19,0.8,0.5,7.91
U0391,20,1.61,2.67,1.07,1.31,,1.79,1.8,10.95
U0392,45,0.93,0.04,3.77,0.55,0.92,1.55,0.01,7.77
U0393,54,1.58,1.13,0.72,1.73,1.53,1.44,1.11,9.24
U0394,43,0.35,2.36,1.87,1.44,0.64,0.96,0.05,7.67
U0395,18,3.22,3.66,3.45,1.81,1.55,1.45,0.87,12
U0396,28,1.3,0.95,0.24,0.25,1.63,0.19,1.08,5.64
U0397,43,0.18,1.32,2.46,0.46,1.8,0.64,1.99,8.85
U0398,47,1.29,0.92,1.54,1.01,1.49,0.13,1.26,7.64
U0399,64,0.89,2.73,2.06,1.1,0.32,1.53,0.79,9.42
U0400,20,2.26,3.12,3.27,1.98,1.5,1.25,0.97,12
U0401,20,1.97,0.91,3.36,1.56,0.29,0.29,1.47,9.85
U0402,22,2.12,1.61,0.75,0.87,0.04,1.72,1.34,8.45
U0403,49,3.99,3.47,0.31,0.71,0.2,0.98,0.26,9.92
U0404,51,1.03,0.43,1.16,1,1.33,1.15,1.17,7.27
U0405,34,2.06,1.95,1.11,1.45,0.87,1.75,0.33,9.52
U0406,52,0.53,1.63,3.77,0.76,1.76,0.9,0.2,9.55
U0407,62,2.05,1.69,1.06,0.94,0.08,1.59,1.52,8.93
U0408,53,1.81,3.32,3.4,1.86,0.61,1.03,1.91,12
U0409,32,0.78,3.04,0.64,1.4,0.21,1.01,0.72,7.8
U0410,26,2.96,2.74,3.4,0.21,0.1,1.75,0.14,11.3
U0411,40,0.46,1.7,2.76,0.51,0.33,1.17,1.83,8.76
U0412,30,2.06,2.79,3.73,1.33,0.63,1.49,0.19,12
U0413,26,0.99,2.84,2.28,0.26,,1.56,1.05,9.3
U0414,20,1.83,0.71,3.36,1.31,0.16,1.32,0.99,9.68
U0415,18,1.9,2.76,3.89,0.37,1.51,0.56,0.85,11.84
U0416,50,3.99,0.75,2.88,0.96,1.62,1.24,1.79,12
U0417,34,1.47,0.47,3.91,0.34,0.44,0.63,0.36,7.62
U0418,36,1.49,2.07,0.18,1.15,1.79,0.89,0.13,7.7
U0419,46,1.59,1.67,0.25,0.95,0.25,0.46,1.06,6.23
U0420,22,1.65,2.33,4,0.6,0.35,0.16,1.04,10.13
U0421,52,3.87,2.06,2.15,1.82,1.49,1.27,1.14,12
U0422,39,1.87,0.91,0.66,0.58,1.61,0.91,1,7.54
U0423,19,3.87,1.9,2.47,0.68,1.54,1.52,1.21,12
U0424,25,3.98,2.4,1.29,1.8,1.06,0.74,1.35,12
U0425,48,3.83,2.71,1.11,1.01,1.1,0.8,1.66,12
U0426,45,1.85,0.42,0.38,0.01,0.05,1.02,0.62,4.35
U0427,42,1.77,0.97,0.53,0.62,0.09,0.01,1.44,5.43
U0428,26,3.65,0.59,3.31,0.67,0.56,0.83,1.75,11.36
U0429,33,2.15,3.08,1.66,1.96,1.42,1.66,0.87,12
U0430,54,1.54,0.06,2.6,0.89,0.67,0,1.96,7.72
U0431,57,3.31,2.4,2.16,1.9,1.12,1.18,0.93,12
U0432,63,0.26,3.11,0.47,1.7,0.1,1.04,1.06,7.74
U0433,26,2.48,1.99,0.33,0.86,0.27,0.08,1.55,7.56
U0434,30,1.83,3.94,0.92,1.19,0.44,1.43,0.04,9.79
U0435,62,2.72,1.7,1.81,0.93,1.04,0.66,1.37,10.23
U0436,23,3.6,1.43,0.4,0.64,2,1.97,1.43,11.47
U0437,43,3.7,2.19,2.34,0.73,1.21,0.75,0.64,11.56
U0438,58,3.54,0.93,1.59,1.99,0.18,0.69,0.05,8.97
U0439,26,0.88,3.8,3.93,0.74,0.7,1.38,1.98,12
U0440,27,2.47,1.45,2.06,1.02,0.14,1.17,1.48,9.79
U0441,23,,2.13,0.35,1.24,0.17,1.58,1.43,8.95
U0442,29,1.34,2.69,1.81,1.79,0.28,1.78,1.8,11.49
U0443,33,1.59,1.66,0.87,0.96,1.76,1.68,1.63,10.15
U0444,43,3.46,0.94,0.81,1.99,0.14,0.69,0.56,8.59
U0445,38,0.92,2.71,1.33,0.51,0.5,1.16,1.51,8.64
U0446,19,2.95,3.16,1.04,1.36,1.72,1.47,0.85,12
U0447,30,2.19,0.84,0.4,0.66,1.09,0.52,1.57,7.27
U0448,46,0.18,2.49,3.33,0.85,1.09,1.05,0.04,9.03
U0449,44,3.51,2.82,2.94,0.19,0.62,0.11,1.42,11.61
U0450,26,1.45,1.29,3.78,0.42,0.54,1.5,1.83,10.81
U0451,30,2.12,1.89,2.46,0.91,1.71,0.97,0.31,10.37
U0452,61,3.69,0.7,0.05,1.49,1.02,1.03,0.2,8.18
U0453,65,3.06,0.77,0.95,1.27,0.16,0.82,0.97,8
U0454,31,3.75,1.49,0.08,0.32,0,0.31,0.06,6.01
U0455,34,0.88,3.12,0.82,0.67,0.98,0.51,0.46,7.44
U0456,55,0.57,2.8,3.19,0.38,0.64,0.43,1.37,9.38
U0457,41,2.15,1.4,0.35,1.12,0.13,0.39,0.88,6.42
U0458,35,2.26,2.91,0.22,0.97,1.29,0.82,0.29,8.76
U0459,34,1.75,1.35,1.87,0.58,1.04,1.38,1.58,9.55
U0460,47,0.4,0.8,2.37,1.96,1.84,1.22,0.17,8.76
U0461,42,0.34,2.64,2.77,1.49,0.26,1.52,0.39,9.41
U0462,44,1.17,3.88,2.41,1.32,0.85,0.69,0.7,11.02
U0463,40,0.26,0.34,1.05,1.2,1.78,1.05,0.5,6.18
U0464,44,3.45,3.98,0.67,1.35,1.24,0.3,1.96,12
U0465,53,0.82,3.65,3.55,1.9,0.7,1.27,0.03,11.92
U0466,55,3.32,0.73,1.39,0.51,1.54,1.42,0.25,9.16
U0467,55,1.64,2.4,3.69,1.8,1.26,0.92,0.41,12
U0468,32,3.98,2.47,3.44,0.72,0.06,0.98,1.89,12
U0469,46,3.96,1.13,0.96,0.53,0.22,1.67,0.26,8.73
U0470,63,2.18,0.21,2.47,1.16,0.78,1.57,1.34,9.71
U0471,47,2.36,2.84,3.25,0.13,1.54,0.42,1.57,12
U0472,35,0.94,0.55,2.87,1.11,1.14,0.6,1.57,8.78
U0473,22,0.67,3.73,2.23,1.05,0.58,1.35,1.9,11.51
U0474,48,2.16,0.68,2.71,0.85,1.7,0.92,1.81,10.83
U0475,19,0.95,3.63,2.29,0.75,1.5,1.14,1.88,12
U0476,24,2.89,3.11,2.11,1.21,1.36,1.32,0.96,12
U0477,36,2.98,3.61,1.49,1.09,1.4,1.19,0.31,12
U0478,46,1.88,1.7,1.58,2,1.37,0.36,1.05,9.94
U0479,26,3.55,3.93,0.59,0.64,1.66,0.24,1.33,11.94
U0480,39,2.36,2.66,3.08,0.17,1.49,0.01,1.78,11.55
U0481,53,3.38,3.07,3.31,0.05,1.47,1.67,1.55,12
U0482,23,0.85,1.77,3.45,0.73,0.03,0.42,1.84,9.09
U0483,35,0.02,0.05,0.69,1.58,0.8,0.34,1.91,5.39
U0484,35,0.54,3.79,1.09,1.04,0.57,0.43,0.78,8.24
U0485,33,2.58,2.29,3.21,1.81,0.79,1.1,0.49,12
U0486,38,0.18,1.28,0.07,0.77,1.73,1.36,0.47,5.86
U0487,64,2.4,0.52,0.9,0.62,0.7,1.9,1.28,8.32
U0488,20,3.62,1.36,4,1.77,0.91,0.2,1.06,12
U0489,35,2.57,0.37,3.56,1.79,1.37,0.52,0.29,10.47
U0490,35,2.28,0.68,2.36,1.27,1,1.55,1.21,10.35
U0491,34,0.78,1.29,2.5,1.82,1.74,0.79,0.07,8.99
U0492,52,3.15,2.59,0.64,0.53,1.92,1.14,0.18,10.15
U0493,43,3.18,3.11,0.67,0.22,1.08,0.25,1.61,10.12
U0494,23,1.79,0.38,2.9,0.58,1.47,1.88,1.71,10.71
U0495,39,2.95,2.23,1.42,0.31,0.69,1.42,1.49,10.51
U0496,36,3.67,3.09,3.36,0.83,0.37,0.05,1.22,12
U0497,62,3.59,2.23,1.65,0.32,0.36,0.42,0.48,9.05
U0498,31,2.84,1.74,1.79,0.04,1.06,1.61,0.4,9.48
U0499,62,2.88,3.45,2.71,1.15,0.46,0.89,0.53,12
U0500,30,1.75,3.63,0.53,0.37,0.04,1.58,0.28,8.18
U0501,44,3.89,2.39,1.86,0.5,0.07,1.42,0.57,10.7
U0502,22,2.77,3.72,0.56,0.05,0.14,1.7,0.79,9.73
U0503,39,1.8,3.34,3.8,1.98,1.77,1.68,1.11,12
U0504,55,2.06,3.97,1.52,0.46,1.91,0.56,1.12,11.6
U0505,25,0.52,2.49,3.82,1.35,1.8,1.15,1.56,12
U0506,30,3.07,3.6,0.57,0.81,0.48,1.65,1.2,11.38
U0507,60,2.39,0.7,0.71,0.65,0.08,1.14,0.31,5.98
U0508,55,3.67,1.31,2.66,1.9,0.55,1,1.02,12
U0509,56,1.88,3.69,1.68,0.3,0.02,1.49,1.05,10.11
U0510,54,1.78,3.72,1.79,1.29,1.69,1.97,1.37,12
U0511,51,2.07,1.76,3.14,0.49,1.89,1.61,1.97,12
U0512,33,3.61,1.69,2.25,1.85,1.89,1.68,1.32,12
U0513,45,1.42,0.53,2.48,0.03,0.95,0.2,0.71,6.32
U0514,60,3.36,0.85,1.4,0.55,0.67,0.18,1.33,8.34
U0515,65,3.16,3.9,2.24,1.09,0.05,0.46,1.56,12
U0516,52,3.8,1.48,0.74,0.53,1.79,1.63,0.62,10.59
U0517,35,1.61,2.18,0.42,1.47,1.46,1.37,0.77,9.28
U0518,58,3.54,1.16,3.37,1.92,0.29,1.04,0.99,12
U0519,43,2.4,3.62,2.97,1.44,1.42,1.7,1.63,12
U0520,58,3.69,0.26,2.66,0.68,1.67,1.81,0.34,11.11
U0521,19,0.72,1.96,1.54,0.7,1.71,0.85,0.55,8.03
U0522,38,0.19,0.91,,1.02,1.04,0.6,1.46,5.53
U0523,46,1.65,0.85,0.64,0.48,0.44,0.42,1.01,5.49
U0524,48,0.13,3.13,2.89,0.93,0.86,1.67,1.63,11.24
U0525,47,2.89,0.24,3.16,1.19,1.89,1.51,0.64,11.52
U0526,21,2.73,0.99,2.36,0.49,0.21,1.95,0.86,9.59
U0527,62,2.88,1.96,3.59,1.86,0.59,1.46,0.65,12
U0528,30,2.16,1.67,3.88,1.73,0.39,0.2,0.32,10.35
U0529,29,2.06,0.71,2.6,0.96,1.25,0.67,0.08,8.33
U0530,57,1.13,1.42,0.34,0.59,1.49,1.74,1.58,8.29
U0531,64,1.78,3.29,0.07,1.33,0.93,0.18,1.48,9.06
U0532,35,2.32,0.26,1.53,0.36,0.53,1.91,0.45,7.36
U0533,29,2.57,1.1,2.85,1.16,1.65,1.96,1.99,12
U0534,53,3.73,0.42,3.55,0.69,0.1,0.4,0.63,9.52
U0535,40,3.65,0.24,0.81,1.05,0.29,0.94,1.62,8.6
U0536,46,0.4,2.28,3.54,0.1,1.95,0.32,0.69,9.28
U0537,18,2.57,1.14,2.78,1.28,1.99,0.12,0.82,10.7
U0538,33,2.17,0.39,2.15,0.48,0.43,0.22,0.26,6.1
U0539,29,3.88,2.84,0.23,0.1,1.33,0.72,1.93,11.03
U0540,44,1.22,3,0.77,0.76,1.19,0.2,0.05,7.19
U0541,59,0.07,0.31,3.37,1.53,1.75,1.95,0.95,9.93
U0542,28,0.36,3.08,0.52,0.2,0.21,1.15,1.73,7.25
U0543,35,3.34,3.87,0.12,0.26,0.95,0.05,1.52,10.11
U0544,50,1.59,0.5,0.92,1.45,0.15,0.33,0.82,5.76
U0545,57,2.52,2.86,2.3,0.97,1.25,1.63,0.44,11.97
U0546,58,1.96,0.78,2.69,1.38,0.51,1.13,1.31,9.76
U0547,48,2.1,1.22,0.76,1.78,0.56,0.88,1.53,8.83
U0548,37,2.95,3.26,2.19,0.65,0.87,1.69,1.66,12
U0549,26,0.85,3.71,0.45,0.1,1.08,0.22,0.2,6.61
U0550,31,1.44,1.65,1.28,0.76,1.8,0.49,1.58,9
U0551,64,1.7,0.66,0.76,0.67,1.67,1.75,1.29,8.5
U0552,31,2.57,3.47,0.15,1.76,0.15,0.47,0.43,9
U0553,63,3.93,0.99,3.12,0.66,0.03,1.25,1.23,11.21
U0554,57,2.45,1.22,1.64,0.59,1.29,1.58,0.39,9.16
U0555,30,3.75,0.54,0.36,1.29,1.81,0.8,1.8,10.35
U0556,64,0.07,3.08,2.94,0.93,0.68,0.37,1.26,9.33
U0557,56,0.83,2.62,1.59,0.33,0.51,1.64,1.32,8.84
U0558,42,0.46,3.18,0.32,0.83,1.33,0.21,0.55,6.88
U0559,38,1.84,1.69,0.02,1.98,0.33,1.56,0.82,8.24
U0560,27,1.6,3.48,3.85,0.15,1.26,1.58,1.58,12
U0561,47,0.89,1,0.47,0.69,1.2,0.55,0.79,5.59
U0562,35,3.86,0.92,0.86,0.42,0.49,0.07,1.05,7.67
U0563,33,2.8,2.61,1.54,1.08,1.84,0.71,1.34,11.92
U0564,57,2.76,0.03,3.78,1.1,1.28,0.35,0.91,10.21
U0565,38,3.73,0.14,0.14,1.23,1.95,1.46,0.54,9.19
U0566,47,2.87,1.5,1.69,1.74,1.3,1.34,1.26,11.7
U0567,48,3.47,2.99,2.99,0.13,1.87,0.39,1.57,12
U0568,46,3.52,3.83,2.89,0.76,1.13,0.93,0.07,12
U0569,52,0.21,1.03,3.85,0.9,1.08,1.43,1.99,10.49
U0570,27,1.89,0.51,2.38,1.53,1.89,0.55,1.16,9.91
U0571,24,0.43,1.73,2.48,0.32,1.86,1.1,1.09,9.01
U0572,45,2.26,1.93,3.77,1.19,1.83,0.09,0.64,11.71
U0573,18,0.96,3.6,1.17,1.67,0.65,0.82,1.55,10.42
U0574,65,3.67,3.43,3.26,0.77,0.69,0.51,1.58,12
U0575,38,2.43,1.57,2.3,1.91,0.54,0.76,1.21,10.72
U0576,29,3.04,3.74,0.31,0,0.79,0.01,0.01,7.9
U0577,44,1.11,0.22,0.36,1.54,1.68,1.27,0.83,7.01
U0578,64,2.56,2.34,3,1.89,1.88,1.6,1.79,12
U0579,39,1.28,1.36,0.47,1.23,1.53,1.49,1.17,8.53
U0580,59,0.76,2.17,3.72,0.09,0.35,1.64,1.58,10.31
U0581,37,0.14,3.88,3.7,1.07,1.54,1.61,1.63,12
U0582,56,1.1,0.06,3.44,0.16,0.25,1.78,0.85,7.64
U0583,32,0.22,2.2,3.19,1.53,1.47,0.44,0.57,9.62
U0584,63,2.86,1.95,0.45,0.39,1.58,1.13,1.72,10.08
U0585,30,1.88,0.66,3.21,0.69,1.52,1.79,0.56,10.31
U0586,27,2.35,3.17,2.91,1.65,0.73,0.66,0.05,11.52
U0587,54,2.23,1.24,0.35,1.73,1.51,0.37,1.36,8.79
U0588,30,3.08,3.4,0.32,1.86,1.84,0.28,0.68,
U0589,62,2.39,1.26,2.09,0.55,0.78,1.55,1.09,9.71
U0590,25,3.78,1.1,3.08,0.09,0.32,0.75,1.4,10.52
U0591,46,1.73,1.11,2.19,1.9,0.24,1.75,1.3,10.22
U0592,50,1.34,1.59,0.34,0.99,1.93,1.49,1.87,9.55
U0593,48,3.4,1.14,3.91,0.36,0.37,1.26,1.87,12
U0594,54,1.62,1.62,1.64,1.87,1.53,1.09,1.96,11.33
U0595,60,2.96,,1.81,1,1.25,0.66,1.17,9
U0596,28,1.28,2.63,3.14,0.53,0.19,1.48,0.3,9.55
U0597,43,2.42,1.17,0.49,1.61,0.29,0.77,1.26,8.01
U0598,22,1.21,3.54,1.77,1.19,0.56,0.84,1.37,10.48
U0599,33,3.81,0.38,2.24,0.25,1.09,0.04,0.45,8.26
U0600,30,2.6,1.73,3.27,1.03,0.44,0.72,0.88,10.67
U0601,53,3.66,1.12,2.31,0.31,1.26,0.29,0.26,9.21
U0602,63,0.73,1.51,0.72,1.69,0.75,1.11,0.84,7.35
U0603,49,2.21,3.96,3.62,1.59,0.6,0.68,0.45,12
U0604,60,2.21,2.4,2.07,1.16,1.23,1.79,2,12
U0605,19,0.03,3.93,2.25,1.78,1.52,1.45,1.33,12
U0606,23,1.99,2.26,3.17,1.74,0.14,1.13,0.3,10.73
U0607,37,1.11,1.31,2.22,1.55,1.38,0.67,1.96,10.2
U0608,49,2.54,2.09,3.4,1.11,1.03,1.51,0.31,11.99
U0609,58,3.6,2.81,0.23,0.76,1.53,0.78,1.22,10.93
U0610,52,3.07,0.75,2.02,0.46,0.02,1.97,0.87,9.16
U0611,60,1.25,3.82,2.96,0.29,0.63,0.88,1.12,10.95
U0612,52,2.02,2.14,3.83,1.74,1.12,1.78,1.22,12
U0613,39,2.07,0.17,1.37,1.3,0.26,1.03,0.25,6.45
U0614,35,0.92,1.15,2.49,1.49,1.81,0.74,0.81,9.41
U0615,41,2.56,1.18,2.75,0.13,0.18,1.7,0.29,8.79
U0616,54,0.87,3.09,1.68,0.52,0.34,0.9,0.34,7.74
U0617,49,2.76,2.58,3.42,0.44,0.99,1.59,1.02,12
U0618,53,1.54,2.96,3.61,1.15,0.31,0.37,0.14,10.08
U0619,19,3.69,0.53,2.37,0.55,1.17,0.32,0.3,8.93
U0620,43,0.41,3.67,2.12,1.47,1.99,1.07,1.01,11.74
U0621,24,2.27,1.64,3.85,0.71,0.38,0.03,1.42,10.3
U0622,36,3.22,1.3,2.24,0.83,1.08,1.65,1.76,12
U0623,18,0.22,1.68,0.85,1.26,0.43,0.97,1.1,6.51
U0624,49,0.29,3.33,3.05,1.73,1.64,1.2,0.44,11.68
U0625,44,2.84,2.09,2.9,1.12,1.26,1.2,1.51,12
U0626,60,3.45,1.59,1.35,1.03,1.42,0.61,1.09,10.54
U0627,38,3.93,1.31,2.57,1.04,1.67,1.11,0.26,11.89
U0628,23,1.82,3.63,3.16,0.22,0.56,0.15,0.83,10.37
U0629,50,2.71,1.13,2.16,0.9,0.48,1.95,1.94,11.27
U0630,58,0.96,3.83,2.73,0.93,1.83,1.77,1.63,12
U0631,22,0.29,1.9,3.68,0.83,1.44,0.96,1.31,10.41
U0632,49,1.97,2.03,3.5,0.04,0.32,0.26,1.17,9.29
U0633,28,2.52,0.41,0.02,1.44,0.62,1.49,1.02,7.52
U0634,44,3.84,1.28,3.37,0.72,0.61,1.87,1.86,12
U0635,34,3.82,1.14,3.78,1.81,1.93,1.73,1.14,12
U0636,46,1.62,2.34,0.77,1.21,1.09,0.24,0.75,8.02
U0637,56,2.78,1.58,0.45,1.51,1.23,0.78,0.68,9.01
U0638,40,2.33,0.05,0.01,0.44,1.26,1.24,1.92,7.25
U0639,48,2.36,0.36,3.69,1.53,0.46,1.62,0.13,10.15
U0640,24,2.26,1,2.81,1.69,1.87,0.53,0.36,10.52
U0641,59,3.53,3.01,3.24,0.41,1.37,0.83,1.72,12
U0642,46,3.65,3.89,3.46,0.77,1.75,0.18,0.06,12
U0643,59,0.42,0.81,2.08,0.13,1.76,1.8,1.13,8.13
U0644,47,0.86,3.95,2.53,0.75,0.44,0.94,1.58,11.05
U0645,27,0.65,0.88,3.38,1.32,1.38,0.95,1.28,9.84
U0646,27,1.66,2.65,1.21,1.5,1.73,0.98,0.73,10.46
U0647,62,1.84,1.43,2.09,0.09,1.73,0.31,1.33,8.82
U0648,30,3.47,1.7,2.57,1.88,0.97,1.28,1.86,12
U0649,38,1.78,0.24,3.82,0.5,1.83,1.51,0.36,10.04
U0650,62,3.89,0.02,1.6,1.11,0.09,1.4,1.4,9.51
U0651,54,0.52,1.66,3.93,0.32,1.68,0.57,1.2,9.88
U0652,43,1.49,0.23,2.66,1.05,1.22,0.37,0.42,7.44
U0653,35,0.45,0.86,3.79,1.45,1.88,1.31,1.49,11.23
U0654,41,3.09,2.11,3.57,1.73,1.49,1.1,0.76,12
U0655,18,1.93,2.09,3.08,1.6,0.46,0.98,1.61,11.75
U0656,47,1.75,1.04,1.95,0.25,1.09,1.62,0.35,8.05
U0657,59,1.94,2.64,0.09,0.89,0.15,0.26,0.6,6.57
U0658,42,3.84,1.53,0.64,0.55,1.59,0.8,1.58,10.53
U0659,60,3.37,1.33,2.06,0.56,1.14,0.78,0.27,9.51
U0660,30,0.23,2.3,0.91,0.17,0.74,0.85,1.28,6.48
U0661,40,0.64,0.17,3.37,1.17,0.19,1.78,0.46,7.78
U0662,19,1.17,1.42,3.04,0.95,1.01,1.77,1.95,11.31
U0663,30,1.16,2.82,2.73,1.41,1.9,1.66,0.54,12
U0664,18,0.55,1.44,0.25,0.92,1.93,1.48,1.64,8.21
U0665,24,0.54,0.08,0.37,1.82,0.29,1.52,1.3,5.92
U0666,34,3.93,3.31,0.59,0.07,0.58,1.38,0.3,10.16
